"Propinsi","tahun","kebutuhan"
"ACEH","2005","619876"
"SUMATERA UTARA","2005","547255"
"SUMATERA BARAT","2005","501315"
"RIAU","2005","551498"
"JAMBI","2005","495242"
"SUMATERA SELATAN","2005","495242"
"BENGKULU","2005","480000"
"LAMPUNG","2005","396456"
"KEP. BANGKA BELITUNG","2005","690000"
"KEP. RIAU","2005","552045"
"DKI JAKARTA","2005","759953"
"JAWA BARAT","2005","408259"
"JAWA TENGAH","2005","405282"
"DI YOGYAKARTA","2005","399964"
"JAWA TIMUR","2005","339227"
"BANTEN","2005","585000"
"BALI","2005","447500"
"NUSA TENGGARA BARAT","2005","526040"
"NUSA TENGGARA TIMUR","2005","402989"
"KALIMANTAN BARAT","2005","482250"
"KALIMANTAN TENGAH","2005","553376"
"KALIMANTAN SELATAN","2005","503775"
"KALIMANTAN TIMUR","2005","597878"
"KALIMANTAN UTARA","2005","-"
"SULAWESI UTARA","2005","522233"
"SULAWESI TENGAH","2005","588000"
"SULAWESI SELATAN","2005","505000"
"SULAWESI TENGGARA","2005","498600"
"GORONTALO","2005","531500"
"SULAWESI BARAT","2005","-"
"MALUKU","2005","602938"
"MALUKU UTARA","2005","674800"
"PAPUA BARAT","2005","-"
"PAPUA","2005","769050"
"ACEH","2006","775000"
"SUMATERA UTARA","2006","737794"
"SUMATERA BARAT","2006","668678"
"RIAU","2006","870625"
"JAMBI","2006","571142"
"SUMATERA SELATAN","2006","853000"
"BENGKULU","2006","586000"
"LAMPUNG","2006","589540"
"KEP. BANGKA BELITUNG","2006","714000"
"KEP. RIAU","2006","991237"
"DKI JAKARTA","2006","831336"
"JAWA BARAT","2006","542621"
"JAWA TENGAH","2006","582128"
"DI YOGYAKARTA","2006","673518"
"JAWA TIMUR","2006","580054"
"BANTEN","2006","735126"
"BALI","2006","742054"
"NUSA TENGGARA BARAT","2006","570000"
"NUSA TENGGARA TIMUR","2006","670560"
"KALIMANTAN BARAT","2006","605017"
"KALIMANTAN TENGAH","2006","850000"
"KALIMANTAN SELATAN","2006","684319"
"KALIMANTAN TIMUR","2006","764756"
"KALIMANTAN UTARA","2006","-"
"SULAWESI UTARA","2006","691224"
"SULAWESI TENGAH","2006","615000"
"SULAWESI SELATAN","2006","672650"
"SULAWESI TENGGARA","2006","573400"
"GORONTALO","2006","677162"
"SULAWESI BARAT","2006","672650"
"MALUKU","2006","1076699"
"MALUKU UTARA","2006","926286"
"PAPUA BARAT","2006","941099"
"PAPUA","2006","941099"
"ACEH","2007","920000"
"SUMATERA UTARA","2007","714336"
"SUMATERA BARAT","2007","760000"
"RIAU","2007","774122"
"JAMBI","2007","693000"
"SUMATERA SELATAN","2007","753000"
"BENGKULU","2007","644000"
"LAMPUNG","2007","554521"
"KEP. BANGKA BELITUNG","2007","830000"
"KEP. RIAU","2007","943254"
"DKI JAKARTA","2007","991988"
"JAWA BARAT","2007","607425"
"JAWA TENGAH","2007","586219"
"DI YOGYAKARTA","2007","656976"
"JAWA TIMUR","2007","458755"
"BANTEN","2007","764214"
"BALI","2007","704000"
"NUSA TENGGARA BARAT","2007","643557"
"NUSA TENGGARA TIMUR","2007","735000"
"KALIMANTAN BARAT","2007","721564"
"KALIMANTAN TENGAH","2007","753098"
"KALIMANTAN SELATAN","2007","768000"
"KALIMANTAN TIMUR","2007","882797"
"KALIMANTAN UTARA","2007","-"
"SULAWESI UTARA","2007","705000"
"SULAWESI TENGAH","2007","635000"
"SULAWESI SELATAN","2007","677333"
"SULAWESI TENGGARA","2007","653250"
"GORONTALO","2007","599080"
"SULAWESI BARAT","2007","886493"
"MALUKU","2007","1091195"
"MALUKU UTARA","2007","1475035"
"PAPUA BARAT","2007","941000"
"PAPUA","2007","941000"
"ACEH","2008","1200000"
"SUMATERA UTARA","2008","783000"
"SUMATERA BARAT","2008","871000"
"RIAU","2008","815665"
"JAMBI","2008","734169"
"SUMATERA SELATAN","2008","1100000"
"BENGKULU","2008","714750"
"LAMPUNG","2008","650000"
"KEP. BANGKA BELITUNG","2008","978720"
"KEP. RIAU","2008","923050"
"DKI JAKARTA","2008","1055275"
"JAWA BARAT","2008","614275"
"JAWA TENGAH","2008","612222"
"DI YOGYAKARTA","2008","687132"
"JAWA TIMUR","2008","544157"
"BANTEN","2008","851500"
"BALI","2008","711099"
"NUSA TENGGARA BARAT","2008","727682"
"NUSA TENGGARA TIMUR","2008","782466"
"KALIMANTAN BARAT","2008","776928"
"KALIMANTAN TENGAH","2008","825000"
"KALIMANTAN SELATAN","2008","790000"
"KALIMANTAN TIMUR","2008","935440"
"KALIMANTAN UTARA","2008","-"
"SULAWESI UTARA","2008","802035"
"SULAWESI TENGAH","2008","733000"
"SULAWESI SELATAN","2008","754884"
"SULAWESI TENGGARA","2008","640000"
"GORONTALO","2008","798852"
"SULAWESI BARAT","2008","850000"
"MALUKU","2008","1182556"
"MALUKU UTARA","2008","1090127"
"PAPUA BARAT","2008","1638746"
"PAPUA","2008","1638746"
"ACEH","2009","1400000"
"SUMATERA UTARA","2009","855124"
"SUMATERA BARAT","2009","896920"
"RIAU","2009","1022669"
"JAMBI","2009","918121"
"SUMATERA SELATAN","2009","929642"
"BENGKULU","2009","742498"
"LAMPUNG","2009","805308"
"KEP. BANGKA BELITUNG","2009","1237000"
"KEP. RIAU","2009","1022000"
"DKI JAKARTA","2009","1314059"
"JAWA BARAT","2009","731680"
"JAWA TENGAH","2009","793693"
"DI YOGYAKARTA","2009","820484"
"JAWA TIMUR","2009","706698"
"BANTEN","2009","917638"
"BALI","2009","956339"
"NUSA TENGGARA BARAT","2009","860000"
"NUSA TENGGARA TIMUR","2009","909000"
"KALIMANTAN BARAT","2009","803914"
"KALIMANTAN TENGAH","2009","910670"
"KALIMANTAN SELATAN","2009","947000"
"KALIMANTAN TIMUR","2009","1209870"
"KALIMANTAN UTARA","2009","-"
"SULAWESI UTARA","2009","863731"
"SULAWESI TENGAH","2009","915000"
"SULAWESI SELATAN","2009","1154080"
"SULAWESI TENGGARA","2009","823638"
"GORONTALO","2009","889000"
"SULAWESI BARAT","2009","1126000"
"MALUKU","2009","1280599"
"MALUKU UTARA","2009","1520000"
"PAPUA BARAT","2009","1325842"
"PAPUA","2009","1734054"
"ACEH","2010","1400000"
"SUMATERA UTARA","2010","916124"
"SUMATERA BARAT","2010","979000"
"RIAU","2010","1053000"
"JAMBI","2010","970662"
"SUMATERA SELATAN","2010","1031902"
"BENGKULU","2010","788956"
"LAMPUNG","2010","861340"
"KEP. BANGKA BELITUNG","2010","1150500"
"KEP. RIAU","2010","1073264"
"DKI JAKARTA","2010","1317710"
"JAWA BARAT","2010","743141"
"JAWA TENGAH","2010","803985"
"DI YOGYAKARTA","2010","750490"
"JAWA TIMUR","2010","856888"
"BANTEN","2010","955708"
"BALI","2010","959232"
"NUSA TENGGARA BARAT","2010","1460099"
"NUSA TENGGARA TIMUR","2010","943404"
"KALIMANTAN BARAT","2010","866250"
"KALIMANTAN TENGAH","2010","947100"
"KALIMANTAN SELATAN","2010","997000"
"KALIMANTAN TIMUR","2010","1327803"
"KALIMANTAN UTARA","2010","-"
"SULAWESI UTARA","2010","966372"
"SULAWESI TENGAH","2010","890000"
"SULAWESI SELATAN","2010","1049321"
"SULAWESI TENGGARA","2010","895188"
"GORONTALO","2010","921647"
"SULAWESI BARAT","2010","1258973"
"MALUKU","2010","1400990"
"MALUKU UTARA","2010","1500092"
"PAPUA BARAT","2010","1421814"
"PAPUA","2010","1799228"
"ACEH","2011","1476145"
"SUMATERA UTARA","2011","966000"
"SUMATERA BARAT","2011","1099227"
"RIAU","2011","1230491"
"JAMBI","2011","1027791"
"SUMATERA SELATAN","2011","1060921"
"BENGKULU","2011","808031"
"LAMPUNG","2011","897600"
"KEP. BANGKA BELITUNG","2011","1562000"
"KEP. RIAU","2011","1139903"
"DKI JAKARTA","2011","1404829"
"JAWA BARAT","2011","874693"
"JAWA TENGAH","2011","833465"
"DI YOGYAKARTA","2011","802335"
"JAWA TIMUR","2011","731635"
"BANTEN","2011","1019875"
"BALI","2011","1101766"
"NUSA TENGGARA BARAT","2011","1007000"
"NUSA TENGGARA TIMUR","2011","973000"
"KALIMANTAN BARAT","2011","931146"
"KALIMANTAN TENGAH","2011","1095000"
"KALIMANTAN SELATAN","2011","1053379"
"KALIMANTAN TIMUR","2011","1435374"
"KALIMANTAN UTARA","2011","-"
"SULAWESI UTARA","2011","935000"
"SULAWESI TENGAH","2011","900000"
"SULAWESI SELATAN","2011","1083000"
"SULAWESI TENGGARA","2011","1013769"
"GORONTALO","2011","996367"
"SULAWESI BARAT","2011","1381470"
"MALUKU","2011","1570980"
"MALUKU UTARA","2011","1090000"
"PAPUA BARAT","2011","1800000"
"PAPUA","2011","1781356"
"ACEH","2012","1531459"
"SUMATERA UTARA","2012","1035028"
"SUMATERA BARAT","2012","1153456"
"RIAU","2012","1312888"
"JAMBI","2012","1143576"
"SUMATERA SELATAN","2012","1311000"
"BENGKULU","2012","884289"
"LAMPUNG","2012","1008109"
"KEP. BANGKA BELITUNG","2012","1540330"
"KEP. RIAU","2012","1080332"
"DKI JAKARTA","2012","1497838"
"JAWA BARAT","2012","874693"
"JAWA TENGAH","2012","833465"
"DI YOGYAKARTA","2012","862391"
"JAWA TIMUR","2012","731635"
"BANTEN","2012","1108000"
"BALI","2012","1130779"
"NUSA TENGGARA BARAT","2012","1222088"
"NUSA TENGGARA TIMUR","2012","1164204"
"KALIMANTAN BARAT","2012","1327014"
"KALIMANTAN TENGAH","2012","1720414"
"KALIMANTAN SELATAN","2012","1227000"
"KALIMANTAN TIMUR","2012","1531458"
"KALIMANTAN UTARA","2012","-"
"SULAWESI UTARA","2012","1077899"
"SULAWESI TENGAH","2012","900000"
"SULAWESI SELATAN","2012","1161395"
"SULAWESI TENGGARA","2012","1232820"
"GORONTALO","2012","1099222"
"SULAWESI BARAT","2012","1381470"
"MALUKU","2012","1739000"
"MALUKU UTARA","2012","1903311"
"PAPUA BARAT","2012","1800000"
"PAPUA","2012","1904000"
"ACEH","2013","1514383"
"SUMATERA UTARA","2013","1295000"
"SUMATERA BARAT","2013","1384233"
"RIAU","2013","1499378"
"JAMBI","2013","1321572"
"SUMATERA SELATAN","2013","1757000"
"BENGKULU","2013","1216089"
"LAMPUNG","2013","1060082"
"KEP. BANGKA BELITUNG","2013","1555206"
"KEP. RIAU","2013","1395442"
"DKI JAKARTA","2013","1978789"
"JAWA BARAT","2013","946689"
"JAWA TENGAH","2013","857728"
"DI YOGYAKARTA","2013","924284"
"JAWA TIMUR","2013","825000"
"BANTEN","2013","1170000"
"BALI","2013","2117000"
"NUSA TENGGARA BARAT","2013","1403700"
"NUSA TENGGARA TIMUR","2013","1336000"
"KALIMANTAN BARAT","2013","1402927"
"KALIMANTAN TENGAH","2013","1919413"
"KALIMANTAN SELATAN","2013","1227547"
"KALIMANTAN TIMUR","2013","1752073"
"KALIMANTAN UTARA","2013","-"
"SULAWESI UTARA","2013","1291604"
"SULAWESI TENGAH","2013","1036000"
"SULAWESI SELATAN","2013","1380500"
"SULAWESI TENGGARA","2013","1207648"
"GORONTALO","2013","1539539"
"SULAWESI BARAT","2013","1403666"
"MALUKU","2013","1738676"
"MALUKU UTARA","2013","1712000"
"PAPUA BARAT","2013","2117000"
"PAPUA","2013","2069318"
"ACEH","2014","1726515"
"SUMATERA UTARA","2014","1265000"
"SUMATERA BARAT","2014","1465690"
"RIAU","2014","1654224"
"JAMBI","2014","1502230"
"SUMATERA SELATAN","2014","1828698"
"BENGKULU","2014","1260000"
"LAMPUNG","2014","1399037"
"KEP. BANGKA BELITUNG","2014","1802823"
"KEP. RIAU","2014","1665000"
"DKI JAKARTA","2014","2299860"
"JAWA BARAT","2014","946689"
"JAWA TENGAH","2014","857728"
"DI YOGYAKARTA","2014","924284"
"JAWA TIMUR","2014","825000"
"BANTEN","2014","1325000"
"BALI","2014","1396234"
"NUSA TENGGARA BARAT","2014","1410294"
"NUSA TENGGARA TIMUR","2014","1600000"
"KALIMANTAN BARAT","2014","1701665"
"KALIMANTAN TENGAH","2014","2087000"
"KALIMANTAN SELATAN","2014","1555000"
"KALIMANTAN TIMUR","2014","1886315"
"KALIMANTAN UTARA","2014","-"
"SULAWESI UTARA","2014","1466472"
"SULAWESI TENGAH","2014","1292817"
"SULAWESI SELATAN","2014","1760000"
"SULAWESI TENGGARA","2014","1472581"
"GORONTALO","2014","1639272"
"SULAWESI BARAT","2014","1919487"
"MALUKU","2014","2158469"
"MALUKU UTARA","2014","1800000"
"PAPUA BARAT","2014","2122472"
"PAPUA","2014","1907000"
"ACEH","2015","1732413"
"SUMATERA UTARA","2015","1271058"
"SUMATERA BARAT","2015","1474227"
"RIAU","2015","1872000"
"JAMBI","2015","1708174"
"SUMATERA SELATAN","2015","1974346"
"BENGKULU","2015","1499826"
"LAMPUNG","2015","1442898"
"KEP. BANGKA BELITUNG","2015","2082000"
"KEP. RIAU","2015","1902598"
"DKI JAKARTA","2015","2538174"
"JAWA BARAT","2015","946689"
"JAWA TENGAH","2015","857728"
"DI YOGYAKARTA","2015","924284"
"JAWA TIMUR","2015","825000"
"BANTEN","2015","1403556"
"BALI","2015","1612818"
"NUSA TENGGARA BARAT","2015","1430064"
"NUSA TENGGARA TIMUR","2015","1652137"
"KALIMANTAN BARAT","2015","1504000"
"KALIMANTAN TENGAH","2015","2254000"
"KALIMANTAN SELATAN","2015","1691000"
"KALIMANTAN TIMUR","2015","2026126"
"KALIMANTAN UTARA","2015","-"
"SULAWESI UTARA","2015","1641969"
"SULAWESI TENGAH","2015","1499791"
"SULAWESI SELATAN","2015","1950000"
"SULAWESI TENGGARA","2015","1621741"
"GORONTALO","2015","1864379"
"SULAWESI BARAT","2015","1981507"
"MALUKU","2015","2197450"
"MALUKU UTARA","2015","2333166"
"PAPUA BARAT","2015","2255113"
"PAPUA","2015","2171944"
